Minerale;Anno;Ub;Titolo;Operatore;Regione;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Totale
Gas;2004;Mare;A.C 1.AG;ENI;Zona A;31162049;28201267;29443006;28124047;28651380;20373259;20981673;27171738;26345677;27165424;25794068;26186963;319600551
Gas;2004;Mare;A.C 2.AS;ENI;Zona A;10944034;8631561;8689521;8401507;9694641;10228297;9804483;9392546;7497806;9141076;8028171;9126485;109580128
Gas;2004;Mare;A.C 3.AS;ENI;Zona A;36605616;33684743;36038435;34426976;33812286;31344299;31600727;31378520;30215856;32393547;29487407;29199155;390187567
Gas;2004;Mare;A.C 4.AS;ENI;Zona A;9039134;8017364;8840721;6507019;8667744;8497489;8592988;8337934;7659559;8036677;7469582;7617114;97283325
Gas;2004;Mare;A.C 5.AV;ENI;Zona A;4306592;3614935;4094632;2598441;3850380;3848144;3902074;3824305;3583489;3668461;3506769;3676520;44474742
Gas;2004;Mare;A.C 6.AS;ENI;Zona A;6070737;5095752;5771951;3662863;5427643;5424492;5500515;5390888;5051424;5171204;4943276;5182564;62693309
Gas;2004;Mare;A.C 7.AS;ENI;Zona A;178455136;168839576;172973860;175865621;181310352;174358201;176038643;174165332;148362490;170733647;157050119;173266318;2051419295
Gas;2004;Mare;A.C 8.ME;ENI;Zona A;18501940;16432030;18371938;15702539;14981678;13934465;14088614;14473724;14676750;15285017;13775333;14913955;185137983
Gas;2004;Mare;A.C 12.AG;ENI;Zona A;9843486;8420852;8936918;8770939;9417011;3471380;5761320;6344710;4249420;10401835;10189213;9884515;95691599
Gas;2004;Mare;A.C 13.AS;ENI;Zona A;29352250;25402935;28083774;26091477;26259561;22921407;23382654;22007776;20311085;22158123;21017625;21902786;288891453
Gas;2004;Mare;A.C 17.AG;ENI;Zona A;34467148;37827474;46146334;43470644;44586501;24790166;56177683;52616393;45114646;49905433;46851346;45875149;527828917
Gas;2004;Mare;A.C 18.AG;ENI;Zona A;2214364;2059734;2291615;1973035;2059278;2170327;2738385;2538414;2306042;2740155;2593483;2663943;28348775
Gas;2004;Mare;A.C 24.EA;ENI;Zona A;63540;0;136837;415737;388298;351737;322805;329440;313865;324668;301450;314057;3262434
