Produzione storica annuale di idrocarburi;;;;;
Anni 1980-2003;;;;;
Nota: per le righe dove è riportato il valore zero in corrispondenza della colonna 'Anno' il valore della colonna 'Produzione' rappresenta la produzione cumulata ottenuta negli anni antecedenti il 1980;;;;;
Gas naturale in migliaia di Smc - Olio greggio in tonnellate;;;;;
Minerale;Ub;Regione;Titolo;Anno;Produzione
Gas;Terra;Lombardia;AGNADELLO;1981;18.440
Gas;Terra;Lombardia;AGNADELLO;1982;84.437
Gas;Terra;Lombardia;AGNADELLO;1983;84.168
Gas;Terra;Lombardia;AGNADELLO;1984;58.126
Gas;Terra;Lombardia;AGNADELLO;1985;34.270
Gas;Terra;Lombardia;AGNADELLO;1986;29.898
Gas;Terra;Lombardia;AGNADELLO;1987;25.877
Gas;Terra;Lombardia;AGNADELLO;1988;17.830
Gas;Terra;Lombardia;AGNADELLO;1989;4.751
Gas;Terra;Abruzzo;ALANNO;0;6.887
Gas;Terra;Abruzzo;ALANNO;1980;40
Gas;Terra;Abruzzo;ALANNO;1981;43
Gas;Terra;Abruzzo;ALANNO;1982;56
Gas;Terra;Abruzzo;ALANNO;1983;43
Gas;Terra;Abruzzo;ALANNO;1984;91
Gas;Terra;Abruzzo;ALANNO;1985;16
Gas;Terra;Abruzzo;ALANNO;1986;12
Gas;Terra;Abruzzo;ALANNO;1987;268
Gas;Terra;Abruzzo;ALANNO;1988;189
Gas;Terra;Abruzzo;ALANNO;1989;78
Gas;Terra;Abruzzo;ALANNO;1990;63
Gas;Terra;Abruzzo;ALANNO;1991;33
Gas;Terra;Abruzzo;ALANNO;1992;119
Gas;Terra;Abruzzo;ALANNO;1993;9
Gas;Terra;Abruzzo;ALANNO;1994;87
Gas;Terra;Abruzzo;ALANNO;1995;20
Gas;Terra;Veneto;ARCADE;1989;8.800
Gas;Terra;Veneto;ARCADE;1990;12.031
Gas;Terra;Veneto;ARCADE;1991;3.052
Gas;Terra;Veneto;ARCADE;1992;2.740
Gas;Terra;Veneto;ARCADE;1993;3.966
Gas;Terra;Veneto;ARCADE;1994;2.186
Gas;Terra;Veneto;ARCADE;1995;1.066
Gas;Terra;Veneto;ARCADE;1996;592
Gas;Terra;Veneto;ARCADE;1997;347
Gas;Terra;Emilia Romagna;ARCETO;1997;6.324
Gas;Terra;Emilia Romagna;ARCETO;1998;11.138
Gas;Terra;Emilia Romagna;ARCETO;1999;10.485
Gas;Terra;Emilia Romagna;ARCETO;2000;2.330
Gas;Terra;Emilia Romagna;ARCETO;2001;227
Gas;Terra;Lombardia;BAGNOLO MELLA;0;1.327.800
Gas;Terra;Lombardia;BAGNOLO MELLA;1980;5.096
Gas;Terra;Lombardia;BAGNOLO MELLA;1981;2.471
Gas;Terra;Lombardia;BAGNOLO MELLA;1982;3.128
Gas;Terra;Lombardia;BAGNOLO MELLA;1983;4.672
Gas;Terra;Lombardia;BAGNOLO MELLA;1984;4.349
Gas;Terra;Lombardia;BAGNOLO MELLA;1985;4.005
Gas;Terra;Lombardia;BAGNOLO MELLA;1986;2.645
Gas;Terra;Lombardia;BAGNOLO MELLA;1987;2.254
Gas;Terra;Lombardia;BAGNOLO MELLA;1988;3.151
Gas;Terra;Lombardia;BAGNOLO MELLA;1990;4.487
Gas;Terra;Lombardia;BAGNOLO MELLA;1991;3.197
Gas;Terra;Lombardia;BAGNOLO MELLA;1992;2.683
Gas;Terra;Lombardia;BAGNOLO MELLA;1993;2.337
Gas;Terra;Lombardia;BAGNOLO MELLA;1994;2.093
Gas;Terra;Lombardia;BAGNOLO MELLA;1995;1.940
Gas;Terra;Lombardia;BAGNOLO MELLA;1996;2.021
Gas;Terra;Lombardia;BAGNOLO MELLA;1997;1.420
Gas;Terra;Lombardia;BAGNOLO MELLA;1999;2.032
Gas;Terra;Lombardia;BAGNOLO MELLA;2000;3.706
Gas;Terra;Lombardia;BAGNOLO MELLA;2001;681
Gas;Terra;Lombardia;BAGNOLO MELLA;2002;448
Gas;Terra;Lombardia;BAGNOLO MELLA;2003;140
Gas;Terra;Emilia Romagna;BALDINA;1984;4.497
Gas;Terra;Emilia Romagna;BALDINA;1985;27.881
Gas;Terra;Emilia Romagna;BALDINA;1986;8.370
Gas;Terra;Emilia Romagna;BALDINA;1987;11.852
Gas;Terra;Emilia Romagna;BALDINA;1988;10.538
Gas;Terra;Emilia Romagna;BALDINA;1989;11.850
Gas;Terra;Emilia Romagna;BALDINA;1990;186
Gas;Terra;Emilia Romagna;BARIGAZZO;0;11.292
Gas;Terra;Emilia Romagna;BARIGAZZO;1980;217
Gas;Terra;Emilia Romagna;BARIGAZZO;1981;228
Gas;Terra;Emilia Romagna;BARIGAZZO;1982;244
Gas;Terra;Emilia Romagna;BARIGAZZO;1983;241
Gas;Terra;Emilia Romagna;BARIGAZZO;1984;255
Gas;Terra;Emilia Romagna;BARIGAZZO;1985;219
Gas;Terra;Emilia Romagna;BARIGAZZO;1986;247
Gas;Terra;Emilia Romagna;BARIGAZZO;1987;245
Gas;Terra;Emilia Romagna;BARIGAZZO;1988;243
Gas;Terra;Emilia Romagna;BARIGAZZO;1989;123
Gas;Terra;Emilia Romagna;BARIGAZZO;1990;269
Gas;Terra;Emilia Romagna;BARIGAZZO;1991;304
Gas;Terra;Emilia Romagna;BARIGAZZO;1992;285
Gas;Terra;Emilia Romagna;BARIGAZZO;1993;293
Gas;Terra;Emilia Romagna;BARIGAZZO;1994;280
Gas;Terra;Emilia Romagna;BARIGAZZO;1995;245
Gas;Terra;Emilia Romagna;BARIGAZZO;1996;282
Gas;Terra;Emilia Romagna;BARIGAZZO;1997;267
Gas;Terra;Emilia Romagna;BARIGAZZO;1998;254
Gas;Terra;Emilia Romagna;BARIGAZZO;1999;247
Gas;Terra;Emilia Romagna;BARIGAZZO;2000;241
Gas;Terra;Emilia Romagna;BARIGAZZO;2003;220
Gas;Terra;Abruzzo;BELLANTE;0;5.495
Gas;Terra;Abruzzo;BELLANTE;1980;379
Gas;Terra;Abruzzo;BELLANTE;1981;277
Gas;Terra;Abruzzo;BELLANTE;1982;181
Gas;Terra;Abruzzo;BELLANTE;1983;60
Gas;Terra;Lombardia;BORDOLANO;0;4.455.000
Gas;Terra;Lombardia;BORDOLANO;1980;5.734
Gas;Terra;Lombardia;BORDOLANO;1981;4.183
Gas;Terra;Lombardia;BORDOLANO;1982;4.108
Gas;Terra;Lombardia;BORDOLANO;1983;2.508
Gas;Terra;Lombardia;BORDOLANO;1984;3.960
Gas;Terra;Lombardia;BORDOLANO;1985;1.133
Gas;Terra;Lombardia;BORDOLANO;1986;1.842
Gas;Terra;Lombardia;BORDOLANO;1987;1.225
Gas;Terra;Lombardia;BORDOLANO;1988;3.231
Gas;Terra;Lombardia;BORDOLANO;1989;9.351
