id;tipo;titolo;titolari;conferimento;sospensione;vigenza;ubic;zona;area;provvedimenti;note
492;Permesso di ricerca;ALIANO;ENI (100%);06/11/1998;sospeso (05/06/2026);primo periodo;Terra;Basilicata;154,56;Conferimento (06/11/1998) - Trasferimento quota (03/08/1999) - Cambio intestazione quota (20/03/2000) - Rettifica (20/03/2000) - Nomina r.u. (11/10/2000) - Cambio intestazione quota (29/11/2000) - Cambio intestazione quota (20/04/2001) - Assunzione quota (20/05/2001) - Assunzione quota (26/03/2003) - Cambio intestazione quota (16/07/2003) - Sospensione decorso temporale (08/10/2004) - Trasferimento quota (09/02/2010) - Cambio intestazione quota (29/03/2022) - Revoca (29/09/2022) - Ripristino (19/11/2025) - Trasferimento quote e nomina r.u. (19/11/2025) - Determinazione scadenza sospensione (19/11/2025);
714;Permesso di ricerca;BADILE;APENNINE ENERGY (100%);23/03/2010;;primo periodo;Terra;Lombardia;38,63;Conferimento (23/03/2010) - Modifica denominazione sociale (17/04/2013) - Sospensione decorso temporale (28/07/2015) - Sospensione decorso temporale (12/04/2016) - Ripristino decorso temporale (04/07/2016) - Revoca (31/10/2022) - Ripristino (10/02/2025) - Riduzione area (07/08/2025);
2107;Permesso di ricerca;BELGIOIOSO;ALEANNA ITALIA (100%);22/11/2010;;primo periodo;Terra;Emilia-romagna - Lombardia;322;Conferimento (22/11/2010) - Sospensione decorso temporale (20/06/2013) - Termine della sospensione del decorso temporale (17/01/2014) - Revoca parziale e riperimetrazione (22/07/2022) - Trasferimento quote (06/04/2023) - Ripristino dell'area (28/04/2025) - Ripristino (28/04/2025) - Sospensione decorso temporale (28/04/2025);Presentata istanza di autorizzazione alla perforazione del pozzo esplorativo «BELLA 1» pubblicata nel BUIG Anno LVI - N. 9.
422;Permesso di ricerca;BUCCHIANICO;ENI (100%);25/07/1996;sospeso;seconda proroga;Terra;Abruzzo;178,96;Conferimento (25/07/1996) - Cambio intestazione (13/02/1998) - Riduzione area (27/02/2003) - Proroga (27/02/2003) - Proroga (20/11/2007) - Sospensione decorso temporale (09/07/2008) - Trasferimento (09/02/2010) - Cambio intestazione (21/11/2016) - Revoca (29/09/2022) - Ripristino (08/05/2025);
2100;Permesso di ricerca;BUGIA;ALEANNA ITALIA (100%);28/09/2010;;primo periodo;Terra;Emilia-romagna;197,8;Conferimento (28/09/2010) - Sospensione decorso temporale (15/04/2015) - Sospensione decorso temporale (11/10/2016) - Sospensione decorso temporale (07/02/2018) - Trasferimento quote (06/04/2023) - Revoca parziale e riperimetrazione (20/12/2023) - Ripristino dell'area (19/03/2025) - Sospensione decorso temporale (19/03/2025);Presentata, in data 25 gennaio 2022, istanza di rinuncia pubblicata nel BUIG Anno LXVI - N. 1 successivamente ritirata con istanza 19 aprile 2022 pubblicata nel BUIG Anno LXVI - N. 10.
2112;Permesso di ricerca;CADELBOSCO DI SOPRA;PO VALLEY OPERATIONS PTY (100%);18/02/2011;sospeso (01/10/2027);primo periodo;Terra;Emilia-romagna;29,27;Conferimento (18/02/2011) - Trasferimento quote (06/02/2013) - Sospensione decorso temporale (30/09/2013) - Sospensione decorso temporale (17/12/2014) - Sospensione decorso temporale (22/07/2015) - Sospensione decorso temporale (02/08/2017) - Sospensione decorso temporale (22/03/2018) - Trasferimento quote (21/02/2020) - Revoca parziale e riperimetrazione (29/09/2022) - Sospensione decorso temporale (26/08/2024) - Sospensione decorso temporale (30/12/2025);Presentata istanza di autorizzazione alla perforazione del pozzo esplorativo «ZINI 1» pubblicata nel BUIG Anno LVI - N. 3.
2113;Permesso di ricerca;CALCIO;PENGAS ITALIANA (100%);07/03/2011;;primo periodo;Terra;Lombardia;154,6;Conferimento (07/03/2011) - Sospensione decorso temporale (15/12/2017) - Sospensione decorso temporale (05/11/2018) - Conferma dell'area (22/07/2022) - Sospensione decorso temporale (26/03/2026) - Riduzione area (26/03/2026);Presentata istanza di autorizzazione alla perforazione del pozzo esplorativo «FONTANELLA 1» pubblicata nel BUIG Anno LX - N. 12.
2131;Permesso di ricerca;CASCINA GRAZIOSA;ALEANNA ITALIA (100%);21/07/2014;;primo periodo;Terra;Lombardia - Piemonte;592,5;Conferimento (21/07/2014) - Cambio intestazione quote (14/03/2017) - Revoca parziale e riperimetrazione (22/07/2022) - Ripristino dell'area (28/04/2025) - Sospensione decorso temporale (28/04/2025);Presentata, in data 25 gennaio 2022, istanza di rinuncia successivamente ritirata con istanza del 22 aprile 2022 pubblcata nel BUIG Anno LXVI - N.4
496;Permesso di ricerca;CIVITA;ROCKHOPPER CIVITA (100%);22/04/1999;sospeso (03/12/2027);prima proroga;Terra;Abruzzo - Molise;276,57;Conferimento (22/04/1999) - Trasferimento quota e nomina r.u. (21/03/2002) - Assunzione quota (20/11/2007) - Proroga (20/11/2007) - Trasferimento (19/06/2008) - Sospensione decorso temporale (09/07/2008) - Termine della sospensione del decorso temporale (08/11/2012) - Sospensione decorso temporale (16/04/2013) - Termine della sospensione del decorso temporale (06/03/2014) - Rettifica (07/05/2014) - Sospensione decorso temporale (03/07/2014) - Modifica denominazione sociale (23/02/2015) - Sospensione decorso temporale (03/07/2015) - Sospensione decorso temporale (04/07/2016) - Revoca (31/10/2022) - Ripristino (03/12/2025) - Sospensione decorso temporale (03/12/2025);Presentata istanza di autorizzazione alla perforazione del pozzo esplorativo «SANTA LIBERATA 1 DIR» pubblicata nel BUIG Anno LVI - N. 9.
2142;Permesso di ricerca;CORZANO;EXPLOENERGY (100%);14/05/2025;;primo periodo;Terra;Lombardia;173,5;Conferimento (14/05/2025);
2106;Permesso di ricerca;FANTOZZA;ALEANNA ITALIA (100%);12/11/2010;;primo periodo;Terra;Emilia-romagna;102,3;Conferimento (12/11/2010) - Sospensione decorso temporale (06/11/2015) - Sospensione decorso temporale (11/10/2016) - Sospensione decorso temporale (07/02/2018) - Trasferimento quote (06/04/2023) - Revoca parziale e riperimetrazione (20/12/2023) - Ripristino dell'area (20/03/2025) - Sospensione decorso temporale (20/03/2025);Presentata, in data 18 giugno 2013, istanza di sospensione del decorso temporale pubblicata sul BUIG Anno LVII - N. 7 ed in seguito rinunciata con istanza presentata in data 10 novembre 2015 e pubblicata sul BUIG Anno LIX - N. 11. Presentata, in data 25 gennaio 2022, istanza di rinuncia pubblicata nel BUIG Anno LXVI - N. 2 successivamente ritirata con istanza 19 aprile 2022 pubblicata nel BUIG Anno LXVI - N. 10.
481;Permesso di ricerca;FIUME ANIENE;LUMAX OIL (100%);21/09/1998;;primo periodo;Terra;Abruzzo - Lazio;911,02;Conferimento (21/09/1998) - Assunzione quote e nomina r.u. (11/02/1999) - Cambio intestazione quota (20/03/2000) - Approvazione programma lavori unitario (29/05/2000) - Cambio intestazione quota (20/04/2001) - Trasferimento quota (27/01/2003) - Sospensione decorso temporale (08/10/2003) - Determinazione scadenza vigenza (04/10/2006) - Sospensione decorso temporale (28/01/2010) - Revoca (31/10/2022) - Ripristino (28/04/2025);
2111;Permesso di ricerca;GRATTASASSO;PO VALLEY OPERATIONS PTY (100%);25/01/2011;sospeso (01/10/2027);primo periodo;Terra;Emilia-romagna;12,17;Conferimento (25/01/2011) - Differimento termine inizio lavori (08/11/2013) - Sospensione decorso temporale (08/11/2013) - Sospensione decorso temporale (17/12/2014) - Sospensione decorso temporale (22/07/2015) - Sospensione decorso temporale (27/07/2017) - Sospensione decorso temporale (22/03/2018) - Revoca parziale e riperimetrazione (29/09/2022) - Sospensione decorso temporale (26/08/2024) - Sospensione decorso temporale (30/12/2025);
